id,replyCount,likeCount,publishedAt,authorName,text,authorChannelId,authorChannelUrl,isReply,isReplyTo,isReplyToName
UgxqHZgHs_wTHmXwtgV4AaABAg.A4UHA8nzqgqA4UIiuu6jM9,,1,"2024-06-09 22:53:32",@mariana-s7t,"será que esquecem ou fingem que não estão vendo? eis a questão",UCmoEQ_mXbVTinTi3vuqjzvA,http://www.youtube.com/@mariana-s7t,1,UgxqHZgHs_wTHmXwtgV4AaABAg,@lucastomaz1498
UgyxmwoVMAwTaQO7_yN4AaABAg,2,28,"2024-06-09 22:39:08",@KarinaFerreiraPerru,"Eu fico tão feliz quando VCs citam essas personalidades contemporâneas e eu penso: quem? O mundo continua girando, para o bem ou para mal, continua girando.",UCWnjNOM8XFTUS67eLt3t5qA,http://www.youtube.com/@KarinaFerreiraPerru,0,,
UgyxmwoVMAwTaQO7_yN4AaABAg.A4UH4QsDYD0A4VPNqpEJjK,,0,"2024-06-10 09:10:56",@MAlditoChainsawMAn,"As pessoas só acordam quando é com elas, foi o caso do Elon Musk.",UCc0CHB5z7TnRauT8PW7kJFA,http://www.youtube.com/@MAlditoChainsawMAn,1,UgyxmwoVMAwTaQO7_yN4AaABAg,@KarinaFerreiraPerru
UgyxmwoVMAwTaQO7_yN4AaABAg.A4UH4QsDYD0A4VpUHLYD0J,,2,"2024-06-10 13:07:44",@KarinaFerreiraPerru,"@@MAlditoChainsawMAn Não sei se é uma questão de estar ou não acordado. Talvez, seja mais sobre a insignificância e a temporalidade de certos indivíduos. Há tantas questões mais importantes, pessoas e ideias mais relevantes. Quem é Erika Hilton no fim do dia? Só mais uma polêmica. É uma pena o MBL ter que perder tempo com isso. Contudo, as polêmicas e a efemeridade delas revelam muito do público brasileiro e dos limites da sua capacidade de reflexão, consumo e maturidade. Por isso, minha felicidade por não conhecer essa pessoa que não gesta. 😘",UCWnjNOM8XFTUS67eLt3t5qA,http://www.youtube.com/@KarinaFerreiraPerru,1,UgyxmwoVMAwTaQO7_yN4AaABAg,@KarinaFerreiraPerru
Ugw0KLq108SX-GZerGB4AaABAg,2,17,"2024-06-09 22:39:08",@lucasespindula8881,"um cara com bigódinho na alemanha em 1930 atacava fisicamente judeus falando de esteriótipos fisicos como nariz e outras coisas, sei la só lembrei mesmo",UCIY_-nWPgQeQ3SmpA66mf0w,http://www.youtube.com/@lucasespindula8881,0,,
Ugw0KLq108SX-GZerGB4AaABAg.A4UH4Q58Gc_A4Y_lBFeq2l,,0,"2024-06-11 14:48:06",@EmanuelOliveira-dr2ys,"Judeus não tinham fenótipo específico que os diferenciasse dos alemães da época",UCP2LNhmmhAcKHBDJ_ZOTmQg,http://www.youtube.com/@EmanuelOliveira-dr2ys,1,Ugw0KLq108SX-GZerGB4AaABAg,@lucasespindula8881
Ugw0KLq108SX-GZerGB4AaABAg.A4UH4Q58Gc_A4YmvSxOnYX,,0,"2024-06-11 16:43:05",@lucasespindula8881,"@EmanuelOliveira-dr2ys  como não jovem kkk, várias charges da época vc vê eles esteriotipando judeus abertamente, além do antisemitismo os cara se apegavam em diferentes características de algumas linhagens judias de raça pra afrontar e serem tbm racistas, tem que olhar mais história jovem",UCIY_-nWPgQeQ3SmpA66mf0w,http://www.youtube.com/@lucasespindula8881,1,Ugw0KLq108SX-GZerGB4AaABAg,@lucasespindula8881
UgyeydfnP-YnKSX7Pht4AaABAg,0,0,"2024-06-09 22:38:10",@alexandresantanameirelles4293,"Não coloque o preto no meio disso...",UCem-cfnA0tNSIpjbFCVR8uQ,http://www.youtube.com/@alexandresantanameirelles4293,0,,
Ugwf0oQjwtMq5LPrJkp4AaABAg,8,54,"2024-06-09 22:36:53",@paulao5954,"Pra mim é um péssimo Deputado Federal.",UCRFewqm1e9F4JtB_N8taMdA,http://www.youtube.com/@paulao5954,0,,
Ugwf0oQjwtMq5LPrJkp4AaABAg.A4UGoxkEKxFA4WJrwOlJ-d,,2,"2024-06-10 17:41:59",@DioneBrendou,ELE,UCKbuIzvss-Fmgg8KNpzCZ-Q,http://www.youtube.com/@DioneBrendou,1,Ugwf0oQjwtMq5LPrJkp4AaABAg,@paulao5954
Ugwf0oQjwtMq5LPrJkp4AaABAg.A4UGoxkEKxFA4WJvewCAlR,,1,"2024-06-10 17:42:30",@DioneBrendou,🤣,UCKbuIzvss-Fmgg8KNpzCZ-Q,http://www.youtube.com/@DioneBrendou,1,Ugwf0oQjwtMq5LPrJkp4AaABAg,@paulao5954
Ugwf0oQjwtMq5LPrJkp4AaABAg.A4UGoxkEKxFA4YHCac_fYR,,2,"2024-06-11 11:57:12",@eviluchiha,"Um dos piores",UCtTCWjbX0wnuSI17FxCtXLw,http://www.youtube.com/@eviluchiha,1,Ugwf0oQjwtMq5LPrJkp4AaABAg,@paulao5954
Ugwf0oQjwtMq5LPrJkp4AaABAg.A4UGoxkEKxFA4Z8RqaqKMs,,5,"2024-06-11 19:59:53",@Leon-gk9uk,"O Nicolas? Concordo, péssimo dms. Graças a Deus temos a Erika, uma excelente parlamentar. 🙌",UCwyqR73V9G0xRtQM2mHmizg,http://www.youtube.com/@Leon-gk9uk,1,Ugwf0oQjwtMq5LPrJkp4AaABAg,@paulao5954
Ugwf0oQjwtMq5LPrJkp4AaABAg.A4UGoxkEKxFA4ddoSl66ov,,1,"2024-06-13 23:18:56",@FernandoTores-fo4qm,"@@Leon-gk9uk Você gosta dele ?🤨🏳‍🌈",UCiz6mlN0p4SrlaBcSfbq-zQ,http://www.youtube.com/@FernandoTores-fo4qm,1,Ugwf0oQjwtMq5LPrJkp4AaABAg,@paulao5954
Ugwf0oQjwtMq5LPrJkp4AaABAg.A4UGoxkEKxFA4deSoRGDjx,,1,"2024-06-13 23:24:35",@Leon-gk9uk,"@@FernandoTores-fo4qm Nicolas? Tá repreendido 🤣",UCwyqR73V9G0xRtQM2mHmizg,http://www.youtube.com/@Leon-gk9uk,1,Ugwf0oQjwtMq5LPrJkp4AaABAg,@paulao5954
Ugwf0oQjwtMq5LPrJkp4AaABAg.A4UGoxkEKxFA4dljsanE-f,,0,"2024-06-14 00:28:13",@FernandoTores-fo4qm,"@@Leon-gk9uk então você gosta da ""Erika Hilton"" 😏🏳‍🌈.A esquerda e muito bicha",UCiz6mlN0p4SrlaBcSfbq-zQ,http://www.youtube.com/@FernandoTores-fo4qm,1,Ugwf0oQjwtMq5LPrJkp4AaABAg,@paulao5954
